GEOID,NAME,median_income,median_age,poverty_per_100k,insurance_per_100k,crude_rate_mortality,age_adjusted_mortality,crude_rate_medical_mortality,age_adjusted_medical_mortality
01,Alabama,51734,39.4,15500,90300,1103.5,897.8,734.3,591.5
02,Alaska,75463,35,10100,87800,630.6,700.9,407.2,449.4
04,Arizona,62055,38.3,13500,88700,827.6,660.5,568.7,450.2
05,Arkansas,48952,38.8,16200,90900,1089.8,876.1,741.5,589.9
06,California,80440,37,11800,92300,682.9,601.8,502,440.2
08,Colorado,77127,37.1,9300,92000,684,647.8,454.2,428
09,Connecticut,78833,41.2,10000,94100,890.4,648.7,577.3,420.3
10,Delaware,70176,41.4,11300,93400,955.3,728.6,663.2,502.8
11,District of Columbia,92266,34.3,13500,96500,698.1,703.2,482.6,488.3
12,Florida,59227,42.4,12700,86800,963.8,649.4,667.7,446
13,Georgia,61980,37.2,13300,86600,808.2,772.1,538.3,510.2
15,Hawaii,83102,39.6,9300,95800,816.4,573.3,551.9,386.6
16,Idaho,60999,36.9,11200,89200,807.5,714.4,527.1,463.1
17,Illinois,69187,38.6,11500,92600,860.9,704.4,583.6,474.6
18,Indiana,57603,38,11900,91300,980.4,824.6,640.9,536.6
19,Iowa,61691,38.5,11200,95000,978.3,732.2,649.3,483.5
20,Kansas,62087,37.2,11400,90800,950.2,765.9,605.4,485.9
21,Kentucky,52295,39.2,16300,93600,1096.5,911.2,704.9,582.9
22,Louisiana,51073,37.7,19000,91100,988.2,857,673.9,580.2
23,Maine,58924,45.1,10900,92000,1120.7,759.7,724.5,488.3
24,Maryland,86738,39,9000,94000,840.3,704.7,544.2,449.4
25,Massachusetts,85843,39.7,9400,97000,850.6,656.1,532.1,411.2
26,Michigan,59584,39.8,13000,94200,992.1,772,694.1,534.3
27,Minnesota,74593,38.4,9000,95100,807,649.2,536.6,429.2
28,Mississippi,45792,38.3,19600,87000,1107.6,945.1,761.9,643.8
29,Missouri,57409,38.9,12900,90000,1016.7,801.1,682.1,533.2
30,Montana,57153,40.5,12600,91700,973.3,739.2,613.6,461.3
31,Nebraska,63229,36.8,9900,91700,877.3,714.2,563.1,457.4
32,Nevada,63276,38.4,12500,88600,830.7,740.5,579,510.6
33,New Hampshire,77933,43,7300,93700,937.3,700,618.7,459.5
34,New Jersey,85751,40.2,9200,92100,844.5,657.3,569.3,442.1
35,New Mexico,51945,38.6,18200,90000,930.5,761.8,611.5,494.7
36,New York,72108,39.2,13000,94800,803.8,616.2,551.1,420.2
37,North Carolina,57341,39.1,13600,88700,914.2,767.3,602.4,501.5
38,North Dakota,64577,35.5,10600,93100,879.5,709.5,580.7,465.7
39,Ohio,58642,39.6,13100,93400,1058.4,827.1,717.9,558.3
40,Oklahoma,54449,37,15200,85700,1034.4,880.4,719.3,607.5
41,Oregon,67058,39.7,11400,92800,886,697.6,593.5,463
42,Pennsylvania,63463,40.8,12000,94200,1046.6,750.7,692.8,495.3
44,Rhode Island,71169,40.1,10800,95900,968.1,709.9,653.1,479
45,South Carolina,56227,39.9,13800,89200,989.8,804,651.7,523.7
46,South Dakota,59533,37.7,11900,89800,934.8,739.5,644.4,507.3
47,Tennessee,56071,39,13900,89900,1053.3,882.7,707.8,588.4
48,Texas,64034,35.1,13600,81600,701.3,717.8,476,484.9
49,Utah,75780,31.2,8900,90300,584.4,686.6,372.3,439.9
50,Vermont,63001,42.8,10200,95500,954.5,680.2,673.6,476.4
51,Virginia,76456,38.5,9900,92100,823.9,703.3,543.4,460.2
53,Washington,78687,37.9,9800,93400,765.1,667.3,527.8,457.7
54,West Virginia,48850,42.9,16000,93300,1305.9,945.4,867.6,625.5
55,Wisconsin,64168,39.9,10400,94300,930.7,721.6,634.8,488.5
56,Wyoming,65003,38.1,10100,87700,884.8,739.2,578.7,481.3
